,Profile,Campany,Skills,Exp,Location
297,"Assistant Manager , Fincial Advisor , Computer Operator     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","DataQuality,BusinessRequirements,BusinessAnalysis",0 - 1 yrs,₹Rs 1.10 - 3.25 Lacs p.a.
298,"Program Manager , Business Analyst , Associate Consultant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","ProgramManagement,ResourceManagement,ProjectManagementOffice",0 - 1 yrs,₹Rs 1.05 - 3.20 Lacs p.a.
299,Senior Project Manager Mechanical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","projectmanager,seniorprojectmanager,manageroperations",12 - 17 yrs,₹Rs 10.00 - 15.00 Lacs p.a.
300,Assistant Manager - Mechanical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",AssistantManager-Mechanical,10 - 15 yrs,"Delhi,  Kolkata"
301,Deputy Manager Electrical Maintenance     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",DeputyManagerElectricalMaintenance,10 - 15 yrs,"Delhi/NCR,  Kolkata"
302,Manager  /  Sr.manager - EHS / Safety     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Manager/Sr.manager-EHS/Safety,10 - 15 yrs,₹Rs 6.00 - 15.00 Lacs p.a.
303,Purchase Executive     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",PurchaseExecutive,5 - 8 yrs,"Delhi/NCR,  Pune,  Chandigarh,  Baddi,  Lucknow"
304,HEAD /  GM - Civil     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","HEAD/GM-Civil,Engineering,Civil",20 - 25 yrs,"Delhi/NCR,  Kolkata,  Ahmedabad,  Chandigarh,  Gwalior"
305,Civil Engineer  ( Construction projects )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",CivilEngineer(Constructionprojects),5 - 10 yrs,"Delhi/NCR,  Gurgaon,  Noida/Greater Noida,  Hissar,  Haridwar"
306,"executive , Associate , Technical Associate     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","GoodComputerknowledge,Hightypingskills,EntryOperator,computeroperator,officeassistant",1 - 4 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
307,Vice President /  GM - Engineering     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",VicePresident/GM-Engineering,15 - 20 yrs,"Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Pune,  Chandigarh"
308,Maintenance Engineer - Mechanical  /  Electrical - Pharma API     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",MaintenanceEngineer,7 - 12 yrs,"Chandigarh,  Baddi,  Pune,  Noida/Greater Noida"
309,Projects Engg - Civil     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Structural,StructuralDesign,Engineering,Civil",7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Pune"
310,Project Manager /  Chief Engineer - Construction     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SeniorCivil/StructuralEngineer,12 - 15 yrs,"Delhi/NCR,  Kolkata,  Noida/Greater Noida,  Hissar,  Gwalior"
311,Mechanical Commissioning Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","troubleshooting,Commissioning,MechanicalMaintenanceCommissioning",8 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Mohali,  Jaisalmer,  Haridwar"
312,Project Engineer Electrical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ProjectEngineerElectrical,Engineering",10 - 15 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai,  Pune"
313,Electronics  &  Communication Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Electronics&CommunicationEngineer,PLC/SCADA,ElectronicPanelDesign,Production&QualityControl,QAP,Installation,Commissionin",5 - 8 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Pune,  Baddi,  Chandigarh"
314,Manager / Sr. Manager HVAC     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Manager/Sr.ManagerHVAC,HVACProject",10 - 15 yrs,"Kolkata,  Noida/Greater Noida,  Hissar,  Ghaziabad,  Haridwar"
315,Mechanical Engineer  &  HVAC Design Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",MechanicalEngineer&HVACDesignEngineer,7 - 12 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Chandigarh,  Mohali"
316,GM - Planning  &  Monitoring     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Vp,GM",15 - 20 yrs,₹Rs 18.00 - 25.00 Lacs p.a.
317,Billing Manager  /  Sr. Billing Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Invoicing,Billing,BillingSystems",10 - 15 yrs,₹Rs 8.00 - 12.00 Lacs p.a.
318,Deputy Project Manager Civil     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",project,12 - 17 yrs,₹Rs 15.00 - 20.00 Lacs p.a.
319,HIRING RELATIONSHIP MANAGERS FOR LIFE INSURANCE - BANCA CHANNEL     Chennai Jobs     (More Jobs),"Chennai Jobs
     (More Jobs)","Bancassurance,CorporateSales,ChannelSales,InsuranceSales,Banca",1 - 6 yrs,₹Rs 1.75 - 3.75 Lacs p.a.
320,SCM Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SupplyChainManagement,12 - 17 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
321,Deputy General Manager Hr  &  Admin     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","DeputyGeneralManagerHr&Admin,HumanResourcs",10 - 15 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata"
322,Senior Manager - Logistics / SCM     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","LogisticsSupplyChainDistribution,LogisticsManagement,SupplyChainManagement,seniorconsultant",15 - 20 yrs,₹Rs 15.00 - 18.00 Lacs p.a.
323,"Senior Accountant , Accounts     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)",SeniorAccountant,10 - 15 yrs,"Delhi/NCR,  Mumbai,  Chandigarh,  Baddi,  Mohali"
324,Plant Maintenance Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",PlantMaintenanceEngineer,10 - 15 yrs,₹Rs 10.00 - 15.00 Lacs p.a.
325,Deputy General Manager - Plant Operations     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",DeputyGeneralManager-PlantOperations,15 - 20 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Pune"
326,Sr. Executive Operation  /  Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","BackOffice,CommercialDocumentation,OperationsDepartment",8 - 13 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
327,Assistant General Manager - Production / Factory Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","PlantHead,ProductionManager",12 - 17 yrs,"Delhi/NCR,  Kolkata,  Noida/Greater Noida"
328,"""SR. ACCOUNTANT""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","Highlydetail-orientedandorganized,ProblemSolver,Self-starter,FastLearner,SelfMotivated,Confident,TeamPlayer,LeadershipSkills",5 - 10 yrs,₹Rs 7.00 - 12.00 Lacs p.a.
329,Project Manager Mechanical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ProductionManager,assistantproductionmanager",15 - 20 yrs,₹Rs 12.00 - 18.00 Lacs p.a.
330,Logistics Manager /  Head     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Sr.Manager-Export&Imports,15 - 20 yrs,"Delhi,  Gurgaon,  Noida/Greater Noida,  Sonepat,  Lucknow"
331,Admin Officer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","admin,operation,faislity",8 - 13 yrs,₹Rs 5.00 - 8.00 Lacs p.a.
332,Security  Cum  Admin officer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","SecurityCumAdminofficer,Adminoffice,Securitymanager,administrativeassistant,AdminManager",8 - 13 yrs,"Delhi/NCR,  Gurgaon,  Mumbai,  Noida/Greater Noida,  Pune"
333,DGM - Human Resources     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","DGM-HR&Admin.,Admin,operations,HumanResources",10 - 15 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai,  Pune"
334,"""PLANNING ENGINEER""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)",Planningandprojectmanagementskills,5 - 10 yrs,₹Rs 10.00 - 13.00 Lacs p.a.
335,"""ASSISTANT MANAGER PRODUCTION""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","GMPandGHP,processofproduction,ISOcomplianceinfoodindustries,maintainqualityofproducts",8 - 12 yrs,₹Rs 4.50 - 6.00 Lacs p.a.
336,"""STORE MANAGER""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","Customerservice,LEADERSHIP,SALESEXPERIENCE,Interpersonal,TeamWork,CommunicationSkills,ManagerialSkills",5 - 10 yrs,₹Rs 3.00 - 5.00 Lacs p.a.
337,Manager HR  &  Admin     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ManagerHR&Admin,HumanResourcs",7 - 12 yrs,"Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai,  Chandigarh,  Baddi"
338,Manager Facilities  &  Administration  ( Only Ex-Servicemen )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Administration,ArmyRetired,ExAirForce,Ex-Servicemen,EstateManagement,Ex-Army,ExDefence,ExNavy,FacilityManagement",10 - 15 yrs,₹Rs 10.00 - 15.00 Lacs p.a.
339,Plant Head - Automobile Manufacturing     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Productquality,Productionmanagement,Leanmanufacturing,Peoplemanagementskills,Reverseengineering,Packaging,Automotive,Teambuilding",15 - 20 yrs,Delhi/NCR
340,Senior Manager  /  Manager - Projects     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Planning,Materials,projects",15 - 20 yrs,₹Rs 15.00 - 20.00 Lacs p.a.
341,"Plant Head - , Deputy General Manager     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)","Vp,Gm,PlantHead-(CementPlant)",20 - 25 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Kolkata"
342,"Intermediate Typist Clerk , Front Office Executive , Mis Executive     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Process,MicrosoftTechnologies,DataCentreOperation,BackOffice,technicalsupportexecutive",0 - 1 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune"
343,General Manager  -  Administration  &  Facility Management     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",GeneralManager-Administration&FacilityManagement,15 - 20 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Pune,  Chandigarh,  Baddi"
344,Operation Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",OperationManager,8 - 12 yrs,"Delhi/NCR,  Gurgaon,  Mumbai,  Noida/Greater Noida,  Pune"
345,Senior Manager Head - Finance     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","FinancialServices,Banking,Finance",12 - 17 yrs,₹Rs 12.00 - 18.00 Lacs p.a.
346,Sr. Mechanical Engineer Power  /  Energy     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Manufacturing,oil&gas,PowerPlantMaintenance,Boiler,Turbine,TurbineGenerator,GasTurbine,GasCompressor,AirCompressor",10 - 15 yrs,₹Rs 10.00 - 15.00 Lacs p.a.
347,Asst. Manager- Back office Operations     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Asst.Manager-BackofficeOperations,7 - 12 yrs,"Delhi/NCR,  Mumbai,  Pune,  Chandigarh,  Lucknow"
348,"Commercial Manager , Senior Commercial Manager     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)",CommercialManager,10 - 15 yrs,"Delhi/NCR,  Mumbai,  Pune,  Chandigarh,  Lucknow"
349,Manager - Administration  &  Facility     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Facilities,Administration",7 - 12 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Lucknow"
350,GM  - Production     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Vp,Gm,GM-Production(CementPlant)",15 - 20 yrs,"Ahmedabad,  Chennai,  Jhajjar,  Dehradun,  Haridwar"
351,Vice President - MEP     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","GeneralManager-MEP,Electrical,VicePresident-MEP",20 - 25 yrs,"Delhi/NCR,  Gurgaon,  Mumbai,  Pune,  Chandigarh"
352,Purchase Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","PurchaseManager,Material,Procurement,Vendors,SupplyChainManagement,ERP,sap",10 - 15 yrs,"Delhi/NCR,  Mumbai,  Pune,  Chandigarh,  Baddi"
353,"Production  &  Quality Engineer , Production Engineer     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)","Production&QualityEngineer,Materials,Planning",7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Pune,  Chandigarh"
354,Assistant Manager-Electrical Maintenance     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ElectricalMaintenance,assistantmanager",10 - 15 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
355,Sr. Manager /  AGM- Supply Chain Management     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SupplyChainManagement,10 - 15 yrs,₹Rs 8.00 - 12.00 Lacs p.a.
356,"Fulltime Freelancer , Computer Programmer , Computer Teacher     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","GoodComputerknowledge,Reporter,editor",0 - 1 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
357,"""International bpo"" , Consumer Tech Support , Associate Consultant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","RetailIndustry,MsOffice,systemadministrator,systemadmin,systemengineer,desktopsupportengineer,itexecutive,customersupportexecutive",0 - 1 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Gurgaon,  Mumbai"
358,Finance Controller     SUBHADRA JOBS CONSULTANCY     (More Jobs),"SUBHADRA JOBS CONSULTANCY
     (More Jobs)","Accountant,Bookkeeping,BankReconciliation,TDS,GSTfiling,LaborLawCompliance,PFreturns,Audit,Bankingtransactions,P&L,vendorpayments,Tally,SAP",7 - 12 yrs,Bengaluru / Bangalore
359,GM /  Head - Plant Maintenance     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Engineering,GM/Head-PlantMaintenance",15 - 20 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Pune,  Chandigarh,  Baddi"
360,Deputy General Manager - Contracts  &  Procurement     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Documentation,procurement,Purchasing,MaterialsManagement",15 - 20 yrs,₹Rs 15.00 - 20.00 Lacs p.a.
361,Sr. Mechanical Maintenance Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Sr.MechanicalMaintenanceEngineer,7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Pune,  Chandigarh,  Lucknow"
362,"Data Entry , Data Entry Operator     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","TechnicalAssistance,technicalsupport,technicalsupportexecutive,associatebasisconsultant",0 - 1 yrs,₹Rs 1.05 - 3.20 Lacs p.a.
363,Warehouse Manager / Sr. Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",WarehouseManager/Sr.Manager,7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Pune,  Lucknow"
364,Import Export Documentation Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ImportExportDocumentationManager,Export,Import",7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Pune,  Chandigarh"
365,Accounts Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",AccountsManager,8 - 12 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
366,Plant Head - Production  &  Operation     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",PlantHead-Production&Operation,15 - 20 yrs,₹Rs 12.00 - 18.00 Lacs p.a.
367,Senior Purchase Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","sourcing,purchase",10 - 15 yrs,₹Rs 10.00 - 15.00 Lacs p.a.
368,Administration Assistant / Executive     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Sr.Exe/Asst.ManagerAdmin&Facilities,Administration",7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Pune,  Lucknow"
369,Head  Production  ( Cement Plant )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","HeadProduction(CementPlant),Production,Maintenance,Rawmaterialplanning.,plantimprovement.,operations,daytodayplantperformance,productionplanning.",22 - 27 yrs,"Ahmedabad,  Chennai,  Jhajjar,  Dehradun,  Haridwar"
370,Senior Operations Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SeniorOperationsManager,10 - 15 yrs,"Delhi/NCR,  Pune,  Thane"
371,Assistant Manager - Maintenance  &  Utility     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",AssistantManager-Maintenance&Utility,10 - 15 yrs,"Delhi/NCR,  Kolkata,  Pune"
372,General Manager - MEP     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",GeneralManager-MEP,15 - 20 yrs,"Delhi/NCR,  Gurgaon,  Kolkata,  Pune,  Chandigarh"
373,Plant Head Manufacturing - Steel Fabrication     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",PlantHeadManufacturing-SteelFabrication,15 - 20 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Chandigarh,  Mohali"
374,Senior Manager / Manager - Logistics     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Supply,Logistics,SupplyChain",10 - 15 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Pune"
375,Sr. Exe  /  Asst. Manager Admin  &  Facilities     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Sr.Exe/Asst.ManagerAdmin&Facilities,Administration",7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Pune,  Lucknow"
376,Planning Operation Manager  /  Sr. Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Materials,Planning",10 - 15 yrs,₹Rs 8.00 - 14.00 Lacs p.a.
377,Manager - Project Execution     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ProjectCoordination,ProjectCosting",10 - 15 yrs,₹Rs 10.00 - 15.00 Lacs p.a.
378,Senior Manager Logistics Operations - Hubli     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SeniorManagerLogisticsOperations,10 - 15 yrs,₹Rs 6.00 - 15.00 Lacs p.a.
379,Manager Administration  &  Facility     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ManagerAdministration&Facility,12 - 15 yrs,"Delhi/NCR,  Kolkata,  Pune"
380,GST  Balance Sheet - Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Sr.Accountant,AllAccounting,BalanceSheet",8 - 12 yrs,"Delhi/NCR,  Mumbai,  Pune,  Chandigarh,  Baddi"
381,Store Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",StoreManager,10 - 15 yrs,"Ahmedabad,  Delhi/NCR,  Pune,  Baddi,  Lucknow"
382,Store Manager - Steel Manufacturing Industry     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","store,RawMaterial,Purchasing,StockDispatch,Inventory,Dispatch,Invoice,Billing,Clients",8 - 13 yrs,₹Rs 6.00 - 8.00 Lacs p.a.
383,Manager /  Sr. Manager - Electrical Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Manager/Sr.Manager-ElectricalEngineer,10 - 15 yrs,₹Rs 12.00 - 28.00 Lacs p.a.
384,"Business Analyst , Assistant Manager , Assistant Manager Operations     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","computeroperator,dataentryoperator,DigitalMarketing,EmailMarketing,SocialMediaMarketing",0 - 3 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR"
385,"Executive Assistant , Administrative Assistant , Admin Assistant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","executive,assistant,salesassistant,salesexecutive,assistantmanager,agencymanager",0 - 1 yrs,₹Rs 1.05 - 3.20 Lacs p.a.
386,Estate Manager  ( Residential )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",EstateManager,12 - 15 yrs,₹Rs 12.00 - 18.00 Lacs p.a.
387,Senior Engineer /  Asst. Manager - Manufacturing Engineering     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ManufacturingEngineering,8 - 12 yrs,"Noida/Greater Noida,  Haridwar,  Rudrapur"
388,Senior Manager - Projects / Facility Head - Construction     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SeniorManager-Projects/FacilityHead-Construction,12 - 17 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Pune,  Lucknow"
389,Manager - Instrumentation  &  Electrical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Instrumentation&Electrical,15 - 20 yrs,₹Rs 12.00 - 24.00 Lacs p.a.
390,Purchase Manager  /  Senior Engineer Procurement     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",PurchaseManager,12 - 15 yrs,₹Rs 12.00 - 18.00 Lacs p.a.
391,Electrical Maintenance Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ElectricalMaintenanceEngineer,5 - 10 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
392,Project Manager - Electrical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ProjectManager-Electrical,10 - 15 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Noida/Greater Noida"
393,Store Incharge     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","StoreIncharge,RawMaterial,Stores,InventoryControl,Purchasing,Procurement",7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Pune,  Baddi"
394,MEP Project Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",MEPProjectEngineer,7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Pune,  Chandigarh"
395,Civil - Structural Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","CivilConstructionStructural,Site,Civil,Engineering",7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Pune,  Mumbai,  Mohali"
396,Deputy General Manager - Mechanical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Fabrication,installation,Commissioning,Pre-commissioning,SheetMetal,SheetMetalFabrication,Welding",15 - 20 yrs,₹Rs 15.00 - 25.00 Lacs p.a.
397,Project Manager - Mechanical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Industrial,Engineering,Manufacturing",18 - 23 yrs,₹Rs 20.00 - 28.00 Lacs p.a.
398,Manager - Electrical Engineering     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","powertransmission,distributionsystems,ElectricalEngineering",10 - 15 yrs,"Ahmedabad,  Delhi/NCR,  Pune,  Jaisalmer,  Haridwar"
399,Project Manager - Civil     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ProjectManager-Civil,10 - 15 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Kolkata,  Pune"
400,GM – Accounts Finance     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","MutualFunds,Finance,BusinessManagement,FinancialManagement,Budgeting,Financials,InvestmentManagement",20 - 25 yrs,₹Rs 20.00 - 35.00 Lacs p.a.
401,GM-Administration     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Administration,manager,GM",15 - 20 yrs,₹Rs 15.00 - 25.00 Lacs p.a.
